x,y
0.2741712,0.1721963
0.2430706,0.1640262
0.1986262,0.0605054
0.1717302,0.0466986
0.075368,0.0378626
0.0589181,0.0158196
0.1597418,0.0034259
0.1385227,-0.0124829
0.1073803,-0.0039865
0.0824388,-0.0343401
0.0363138,-0.1188729
0.0225287,-0.081432
-0.0431102,-0.1083319
-0.0009204,-0.0690644
-0.1339599,-0.0938908
-0.1357375,-0.0843399
-0.0659881,-0.0249582
-0.0594289,-0.033247
-0.1101737,0.0515773
-0.079901,0.0360132
-0.0634493,0.064866
-0.0926201,-0.1273748
-0.0898815,-0.1115324
-0.0925247,-0.0997041
-0.0679356,-0.0934829
0.0101068,-0.0655713
-0.0316114,-0.0564111
-0.0097844,0.0163292
-0.040304,0.1191185
-0.0359311,0.151777
-0.0797492,0.1517435
-0.0749985,0.179942
-0.157227,0.1993708
-0.169617,0.2244684
-0.0488017,0.2363192
-0.033234,0.2783447
-0.0225001,0.3787168
0.0208954,0.391215
0.046839,0.3745429
0.070194,0.3769318
0.0622529,0.3568599
0.0479151,0.3223279
-0.0055221,0.3441395
-0.148326,0.4494097
-0.0125633,0.4589265
-0.073276,0.3867969
-0.1229038,0.4286886
-0.0585366,0.4403521
-0.679752,0.584482
-0.7016277,0.490039
-0.6389867,0.5435395
-0.6299188,0.5490768
-0.5904774,0.5499195
-0.6062102,0.5321053
-0.5818954,0.5493289
-0.5719103,0.5593743
-0.5827187,0.5293289
-0.5496402,0.5510668
-0.5296128,0.5334789
-0.594282,0.4399415
-0.4712595,0.5577555
-0.4941778,0.5272352
-0.4693586,0.5414576
-0.4838455,0.517343
-0.4759998,0.5062152
-0.4301132,0.5456253
-0.5154862,0.4607037
-0.5762246,0.3798747
-0.5465512,0.4143005
-0.3847089,0.563094
-0.5694051,0.3625185
-0.4627625,0.4806999
-0.402438,0.0097374
-0.3822922,0.0161123
-0.3439457,0.1005594
-0.3961846,0.5318584
-0.4085429,0.5181643
-0.4810889,0.4494087
-0.4547251,0.4684103
-0.4902056,0.4104542
-0.4444658,0.4584494
-0.4320225,0.4520186
-0.4192759,0.4470005
-0.4082027,0.4436821
-0.3984356,0.4417607
-0.3896842,0.4393935
-0.3806139,0.4363274
-0.3648673,0.4481853
-0.3718362,0.4320059
-0.416052,0.3785308
-0.3387026,0.4465457
-0.3620815,0.4256476
-0.3529296,0.4203012
-0.4608095,0.2859914
-0.3450515,0.414827
-0.3410219,0.4060604
-0.414139,0.3272168
-0.4379739,0.2898996
-0.3377661,0.3950921
-0.26301,0.4437715
-0.3351154,0.3843406
-0.37942,0.331882
-0.3248494,0.3850181
-0.3927545,0.3058486
-0.3313761,0.3648056
-0.3299278,0.3558801
-0.3515165,0.3333268
-0.3060735,0.3750108
-0.3286512,0.347485
-0.3461394,0.324962
-0.3675734,0.2969838
-0.3270102,0.3394147
-0.3248076,0.3320542
-0.3647694,0.2869029
-0.3374498,0.3117236
-0.3225556,0.3251607
-0.3155362,0.312095
-0.3107976,0.306141
-0.3051959,0.2996335
-0.3236676,0.2084778
-0.3033901,0.2010862
-0.2758948,0.2697737
-0.2580219,0.2546871
-0.2421062,0.251373
-0.2410296,0.2580409
-0.2503684,0.2493689
-0.2544513,0.2407423
-0.2552212,0.2353325
-0.2407085,0.214225
-0.2319861,0.2103797
-0.2288445,0.211813
-0.2263268,0.2099478
-0.2232126,0.2073922
-0.2202544,0.2074951
-0.2124297,0.206831
-0.2069294,0.2074465
-0.2004344,0.2071409
-0.1930939,0.2064277
-0.186842,0.2065883
-0.1819552,0.2058981
-0.1783288,0.2065468
-0.1736978,0.2062477
-0.1607442,0.2081956
-0.1523677,0.2090151
-0.1410966,0.2096765
-0.1266788,0.2105588
-0.1077976,0.2090276
-0.0984189,0.2104722
-0.0946939,0.2224236
-0.0921286,0.220534
-0.0900367,0.2233678
-0.090693,0.2291976
-0.0926594,0.2336144
-0.0947033,0.2346342
-0.0950404,0.2322527
-0.0942503,0.231226
-0.0968153,0.230784
-0.0987607,0.2297644
-0.1013303,0.2272487
-0.1045207,0.2237887
-0.1075671,0.22018
-0.1092178,0.2155881
-0.1131766,0.2079211
-0.1174992,0.2058076
-0.1224346,0.202932
-0.1286995,0.1935917
-0.1293384,0.1880477
-0.1289989,0.1825913
-0.1276831,0.1778328
-0.1193881,0.168473
-0.1072377,0.1616079
-0.0864567,0.1502267
-0.0652832,0.1401146
-0.0594536,0.1432479
-0.0699126,0.1483951
-0.0765455,0.1440419
-0.0775823,0.1382989
-0.080333,0.1387463
-0.0838969,0.1403013
-0.0839133,0.1323746
-0.084414,0.1317678
-0.0885541,0.1342885
-0.0952386,0.1360336
-0.1021869,0.1360083
-0.1084579,0.1368571
-0.1139083,0.1385073
-0.1172516,0.1397565
-0.1186164,0.140932
-0.1188514,0.1425345
-0.1177253,0.1442389
-0.1154535,0.146316
-0.1122365,0.148996
-0.1083319,0.1517795
-0.1033259,0.1547194
-0.097948,0.1579713
-0.0919494,0.1606198
-0.0848041,0.1629464
-0.077317,0.1657162
-0.0560011,0.1672917
-0.0366967,0.1649326
-0.0311044,0.1672218
-0.028828,0.1712985
-0.0310074,0.1702838
-0.0315124,0.1681338
-0.0348753,0.1674185
-0.0414695,0.1705721
-0.0461844,0.1731981
-0.0487845,0.1710436
-0.0578655,0.168343
-0.0662158,0.16874
-0.0755186,0.1702624
-0.084093,0.1713896
-0.0964257,0.169922
-0.1004252,0.1674616
-0.1030778,0.1647794
-0.1054642,0.1629664
-0.1136317,0.1604773
-0.1154944,0.1590505
-0.1161746,0.157292
-0.1156353,0.1549209
-0.1129736,0.1510796
-0.1072366,0.1465043
-0.0999423,0.1424705
-0.0931877,0.1391246
-0.0776913,0.1315272
-0.0542452,0.1216767
-0.0443258,0.1215852
-0.0515167,0.1258944
-0.0606612,0.1245517
-0.0643427,0.1208597
-0.071533,0.1218193
-0.0803016,0.12283
-0.0835249,0.1187107
-0.077242,0.1129354
-0.0791006,0.1161492
-0.0836969,0.1180282
-0.0883476,0.118264
-0.0941171,0.1202476
-0.1002395,0.1225401
-0.1026886,0.1228985
-0.1017173,0.1225895
-0.0994683,0.1227268
-0.0958453,0.1228725
-0.0910325,0.1229434
-0.084622,0.1234149
-0.0775879,0.1251744
-0.0714375,0.1278997
-0.0648761,0.131573
-0.0495191,0.1378315
-0.0389093,0.1390505
-0.0230707,0.1382257
-0.0232277,0.1423905
-0.0221413,0.1454142
-0.0230371,0.1439414
-0.0213088,0.143256
-0.021473,0.1442015
-0.0248427,0.1464844
-0.0317154,0.1512186
-0.0369213,0.1527292
-0.0389114,0.1511366
-0.0417091,0.1504035
-0.0485294,0.1506771
-0.0567084,0.1512135
-0.0770902,0.1525983
-0.0857552,0.1516675
-0.0926533,0.1494207
-0.0974433,0.1465034
-0.1005838,0.1432785
-0.1028687,0.1412429
-0.1051361,0.1398491
-0.1067733,0.139218
-0.1075487,0.1386337
-0.1045718,0.1374018
-0.1016648,0.1357099
-0.097112,0.1331285
-0.0921561,0.1308226
-0.0867743,0.1284579
-0.0772529,0.1232196
-0.0578049,0.1129802
-0.0442491,0.1087039
-0.0387443,0.1112442
-0.0453978,0.1131096
-0.0449327,0.1124033
-0.0427,0.1119168
-0.0406064,0.1121673
-0.0375441,0.1121941
-0.0332416,0.1133282
-0.0298593,0.1163456
-0.0282845,0.1208697
-0.0283237,0.1249464
-0.0283083,0.1389769
-0.0253247,0.1417361
-0.0210413,0.1441308
-0.0154686,0.1458564
-0.0086085,0.1465132
-0.0008611,0.1467091
0.0052084,0.1465053
0.0092261,0.1464483
0.0112685,0.1465373
0.0116028,0.146964
0.0094823,0.1502612
0.0091257,0.151958
0.0099687,0.153213
0.0118796,0.1531425
0.0199391,0.1491245
0.0373939,0.1424574
0.0250089,0.15293
0.0135072,0.158911
0.009009,0.1622366
-0.0062015,0.1709738
-0.010948,0.173085
-0.018299,0.1784602
-0.0254014,0.1809299
-0.0330554,0.1837965
-0.0410109,0.1874099
-0.048983,0.1916222
-0.0560934,0.1952331
-0.0615354,0.1988327
-0.064614,0.201925
-0.0648304,0.2047055
-0.064011,0.2082747
-0.0631529,0.2123753
-0.0617001,0.2166338
-0.0601713,0.2209771
-0.0587679,0.2251046
-0.0573741,0.2292069
-0.056233,0.233643
-0.0567764,0.2376291
-0.0562968,0.2411869
-0.0401123,0.2420428
-0.0324977,0.2451847
-0.0312013,0.249138
-0.0323801,0.2546219
-0.0383009,0.2587049
-0.0463433,0.2636335
-0.0557134,0.2719873
-0.0525409,0.2737982
-0.0478123,0.2782114
-0.049001,0.2836739
-0.0517099,0.2870528
-0.0554976,0.2904602
-0.0598958,0.2953743
-0.0630627,0.299994
-0.0632181,0.3043717
-0.060924,0.3092031
-0.0530135,0.3165984
-0.0470368,0.320174
-0.0399135,0.3239416
-0.0311777,0.3278242
-0.0208751,0.3309829
0.0330236,0.3300149
0.0672347,0.3236931
0.0747055,0.3262109
0.0745097,0.3279921
0.061359,0.329008
0.0617965,0.3283745
0.0649429,0.3290764
0.0654742,0.327657
0.0621897,0.3197255
0.0564955,0.3184475
0.0494183,0.3169239
0.0444997,0.3144392
0.0420261,0.3108893
0.0395912,0.3076133
0.0316774,0.301614
0.0268774,0.2987714
0.0219392,0.295659
0.0171866,0.2922397
0.0132369,0.2883926
0.0094949,0.2849014
0.0059024,0.2806534
0.0029441,0.2769105
-0.0003557,0.2734395
-0.003682,0.2696784
-0.0068887,0.2660541
-0.0100525,0.2627447
-0.0132672,0.2597913
-0.0154567,0.2564145
-0.0106752,0.2508565
-0.0021458,0.2446971
0.0014809,0.2435086
-0.0227042,0.240164
-0.0395592,0.2336022
-0.0550097,0.2303364
-0.0686616,0.2290475
-0.077735,0.2243436
-0.0863279,0.2131593
-0.0943559,0.2105159
-0.1052287,0.2063952
-0.1147587,0.2013731
-0.1236351,0.1973202
-0.1323575,0.1944181
-0.13932,0.190964
-0.1449338,0.182196
-0.1448303,0.1782435
-0.1435376,0.1740149
-0.1409948,0.1693769
-0.1377674,0.1648414
-0.1340985,0.1609777
-0.1293989,0.1582716
-0.1233378,0.1574576
-0.1160177,0.158282
-0.1072913,0.1609893
-0.0844568,0.1685381
-0.0699285,0.1707787
-0.0668328,0.1782029
-0.0685781,0.183698
-0.069905,0.1814353
-0.0704222,0.1784386
-0.0689774,0.1766265
-0.0702975,0.174844
-0.0737303,0.1732612
-0.0757519,0.1685388
-0.0774038,0.164259
-0.0798962,0.1603572
-0.0836147,0.1565662
-0.0883414,0.1532761
-0.0933455,0.149348
-0.0973247,0.1455493
-0.0998195,0.1412705
-0.1008591,0.1365583
-0.101224,0.1319408
-0.102032,0.1282257
-0.103203,0.1249407
-0.1044749,0.1220384
-0.1052267,0.1190595
-0.1052231,0.1159346
-0.1047555,0.1118298
-0.1036022,0.1072177
-0.101585,0.1028022
-0.0982935,0.0986848
-0.0941939,0.0954075
-0.0900723,0.0924702
-0.0820175,0.0872925
-0.0643688,0.0777095
-0.0439859,0.0710435
-0.0323604,0.0705449
-0.0365002,0.070545
-0.0435,0.0703037
-0.0552207,0.0684415
-0.0711373,0.0664694
-0.0885314,0.0628457
-0.0791411,0.0272676
-0.0652754,0.0248253
-0.0720554,0.0254175
-0.0744991,0.0208425
-0.0755859,0.0172521
-0.0784164,0.0154817
-0.0794849,0.0118738
-0.0781332,0.0087947
-0.0747518,0.0063321
-0.0696529,0.0037588
-0.0640861,0.0005239
-0.0590224,-0.0227243
-0.0614176,-0.0024802
-0.0597776,-0.0060599
-0.0578396,-0.003132
-0.0493155,-0.020032
-0.0511902,-0.0059841
-0.0444695,-0.0186479
-0.0036047,0.0003064
0.0185372,-0.0015651
0.0323596,-0.0030491
0.0354577,-0.0001299
0.0290744,0.0037378
0.0289217,0.0070079
0.0259818,0.0110287
0.0233938,0.0163087
0.0143171,0.0250549
0.0101066,0.0293476
0.0128394,0.0293666
0.0108937,0.0329226
-0.0000871,0.0403614
-0.0094718,0.0456337
-0.0194385,0.0498969
-0.0292019,0.053053
-0.0370721,0.0540015
-0.0438502,0.0544212
-0.0619614,0.0521196
-0.0663988,0.0509031
-0.0688686,0.0494804
-0.0694042,0.0478656
-0.0681634,0.0462888
-0.0650787,0.0441425
-0.0600422,0.0414932
-0.0533735,0.0385555
-0.0431442,0.0339649
-0.0164397,0.0230623
0.0068869,0.0187983
0.0108989,0.0214782
-0.0030638,0.0267081
-0.0103877,0.0208987
-0.0187738,0.0226259
-0.023781,0.0222082
-0.0205659,0.0171312
-0.0109179,0.0128894
-0.0072946,0.0142609
-0.0102819,0.0172811
-0.0133575,0.0172062
-0.0142694,0.0169124
-0.015571,0.0194263
-0.0159347,0.0220825
-0.0145793,0.0238154
-0.0119417,0.0252306
-0.0078124,0.0265876
-0.0029455,0.0281704
0.0035751,0.0299647
0.0104833,0.0320804
0.016128,0.0350889
0.0233797,0.0378015
0.033924,0.0388328
0.0456874,0.0395022
0.0631385,0.0374287
0.0833334,0.0352471
0.0827072,0.0390178
0.0766911,0.0422856
0.0726268,0.0441222
0.0567857,0.0461288
0.047022,0.0469492
0.0433924,0.0441016
0.0425593,0.0402097
0.0381866,0.0360587
0.0297004,0.0328959
0.0185524,0.0314124
-0.0023411,0.0292115
-0.012289,0.0269193
-0.0221798,0.024163
-0.0314149,0.0215737
-0.0390014,0.0188601
-0.0458783,0.0160443
-0.0514457,0.0135585
-0.0578959,0.0094197
-0.059072,0.0076325
-0.0601611,0.0060608
